qid,qidFull
ResponseID,NO TEXT
xdemAll,NO TEXT
demZIP,What is your five-digit ZIP Code?
xdemGender,Post survey demographic for gender
age,Four part age demographic for US
demAgeGeneration,NO TEXT
xpid3,Political party affiliation without leaning
xpidGender,Political party identification combined with gender
xdemIdeo3,Political ideology recode to three groups
xeduc3,Classification of education into three categories
xdemInc3_us,Three tiered income demographic for the US
xdemWhite,Binary variable indicating if respondent is White
xdemHispBin,Binary variable indicating if respondent is Hispanic
demBlackBin,Binary variable indicating if respondent is Black
demRaceOther,Binary variable indicating if respondent belongs to another ethnicity
xdemReligion,Variable categorizing respondents based on their religious affiliation
xdemReligOther,Variable indicating if the respondent is a religious non-Protestant/Catholic
xdemUsr,Variable categorizing respondents based on their community type
xdemEmploy,Employment status with revised categories
xdemMilHH1,Variable indicating if the respondent belongs to a military household
xsubVote24O,2024 US Presidental Vote recode with additional level for non-voters
xreg4,"Variable categorizing respondents based on the 4-region US division their state falls into, aggregated from the 9 regions in xdiv9"
RSxdem1,The Fresh Market Users
RSxdem2,MOM's Organic Market Users
RSxdem3,Whole Foods Market Users
RSxdem4,Sprouts Farmers Market Users
RSxdem5,Trader Joe's Users
RSxdem6,Publix Super Markets Users
RSxdem7,Wegmans Users
RSxdem8,Walmart Users
RSxdem9,Target Users
RSxdem10,Aldi Users
RSxdem11,Costco Users
RSxdem12,Kroger Users
RSxdem13,Albertsons Users
RSxdem14,Sam's Club Users
RSxdem21,The Fresh Market Non-Users
RSxdem22,MOM's Organic Market Non-Users
RSxdem23,Whole Foods Market Non-Users
RSxdem24,Sprouts Farmers Market Non-Users
RSxdem25,Trader Joe's Non-Users
RSxdem26,Publix Super Markets Non-Users
RSxdem27,Wegmans Non-Users
RSxdem28,Walmart Non-Users
RSxdem29,Target Non-Users
RSxdem30,Aldi Non-Users
RSxdem31,Costco Non-Users
RSxdem32,Kroger Non-Users
RSxdem33,Albertsons Non-Users
RSxdem34,Sam's Club Non-Users
RSxdem41,The Fresh Market Light Users
RSxdem42,MOM's Organic Market Light Users
RSxdem43,Whole Foods Market Light Users
RSxdem44,Sprouts Farmers Market Light Users
RSxdem45,Trader Joe's Light Users
RSxdem46,Publix Super Markets Light Users
RSxdem47,Wegmans Light Users
RSxdem48,Walmart Light Users
RSxdem49,Target Light Users
RSxdem50,Aldi Light Users
RSxdem51,Costco Light Users
RSxdem52,Kroger Light Users
RSxdem53,Albertsons Light Users
RSxdem54,Sam's Club Light Users
category_usage_high,Category Usage: High
category_usage_medium,Category Usage: Medium
category_usage_low,Category Usage: Low
brand_usage_high,Brand Usage: High
brand_usage_medium,Brand Usage: Medium
brand_usage_low,Brand Usage: Low/None
xdemAud1,MSA in select stores list
xdemAud2,MSA not in select stores list
RSdem1_1,How likely are you to make purchases in each of the following categories in the future? --- Beauty
RSdem1_2,How likely are you to make purchases in each of the following categories in the future? --- Groceries
RSdem1_3,How likely are you to make purchases in each of the following categories in the future? --- Household cleaning supplies
RSdem1_4,How likely are you to make purchases in each of the following categories in the future? --- Alcoholic and/or low/no alcohol beverages
RSdem1_5,"How likely are you to make purchases in each of the following categories in the future? --- Mass merchandiser products (i.e., Walmart, Target)"
RSdem1_6,"How likely are you to make purchases in each of the following categories in the future? --- Department store retail (i.e. JCPenney, Macy's)"
RSdem1_7,"How likely are you to make purchases in each of the following categories in the future? --- Convenience store products (i.e. CVS, Walgreens)"
RSdem1_8,"How likely are you to make purchases in each of the following categories in the future? --- Online retailer products (i.e. Amazon, brand websites)"
RSdem2a,How often do you purchase groceries?
RS1_1NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Doing my regular weekly grocery shopping
RS1_2NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Hosting guests or preparing for a special meal
RS1_3NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Planning meals and realizing I'm low on supplies
RS1_4NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Looking for healthy or better-quality food options
RS1_5NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Buying ready-to-eat meals to save time
RS1_6NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Trying to save money on groceries
RS1_7NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Wanting to try new or seasonal products
RS1_8NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Avoiding crowded stores or long lines
RS1_9NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Shopping for a large family or group
RS1_10NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Buying groceries online or for pickup
RS1_11NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Needing help or ideas on what to buy
RS1_12NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Looking for specialty or international foods
RS1_13NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Feeling health-conscious and wanting to eat better
RS1_14NET,"In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Short on time but wanting convenient, good food"
RS1_15NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Feeling inspired to cook or try something new
RS1_16NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Choosing environmentally friendly grocery options
RS1_17NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- Running other errands and picking up groceries too
RS1_18NET,In which of the following situations do you most commonly consider purchasing groceries? Please select all that apply. --- None of these
RS3_1NET,Which of the following grocery stores have you heard of? Please select all that apply. --- The Fresh Market
RS3_2NET,Which of the following grocery stores have you heard of? Please select all that apply. --- MOM's Organic Market
RS3_3NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Whole Foods Market
RS3_4NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Sprouts Farmers Market
RS3_5NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Trader Joe's
RS3_6NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Publix Super Markets
RS3_7NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Wegmans
RS3_8NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Walmart
RS3_9NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Target
RS3_10NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Aldi
RS3_11NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Costco
RS3_12NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Kroger
RS3_13NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Albertsons
RS3_14NET,Which of the following grocery stores have you heard of? Please select all that apply. --- Sam's Club
RS3_15NET,Which of the following grocery stores have you heard of? Please select all that apply. --- None of these
RS4_1,"When, if ever, did you last purchase from each of the following grocery stores? --- The Fresh Market"
RS4_2,"When, if ever, did you last purchase from each of the following grocery stores? --- MOM's Organic Market"
RS4_3,"When, if ever, did you last purchase from each of the following grocery stores? --- Whole Foods Market"
RS4_4,"When, if ever, did you last purchase from each of the following grocery stores? --- Sprouts Farmers Market"
RS4_5,"When, if ever, did you last purchase from each of the following grocery stores? --- Trader Joe's"
RS4_6,"When, if ever, did you last purchase from each of the following grocery stores? --- Publix Super Markets"
RS4_7,"When, if ever, did you last purchase from each of the following grocery stores? --- Wegmans"
RS4_8,"When, if ever, did you last purchase from each of the following grocery stores? --- Walmart"
RS4_9,"When, if ever, did you last purchase from each of the following grocery stores? --- Target"
RS4_10,"When, if ever, did you last purchase from each of the following grocery stores? --- Aldi"
RS4_11,"When, if ever, did you last purchase from each of the following grocery stores? --- Costco"
RS4_12,"When, if ever, did you last purchase from each of the following grocery stores? --- Kroger"
